"step","name","age_range","value"
"1","Downloads","18-24","1865"
"2","Signups","18-24","1865"
"3","Ride_Requested","18-24","1300"
"4","Rides_Accepted","18-24","1289"
"5","Rides_Completed","18-24","670"
"6","Payment","18-24","670"
"7","Review","18-24","473"
"1","Downloads","25-34","3447"
"2","Signups","25-34","3447"
"3","Ride_Requested","25-34","2425"
"4","Rides_Accepted","25-34","2393"
"5","Rides_Completed","25-34","1227"
"6","Payment","25-34","1227"
"7","Review","25-34","842"
"1","Downloads","35-44","5181"
"2","Signups","35-44","5181"
"3","Ride_Requested","35-44","3662"
"4","Rides_Accepted","35-44","3628"
"5","Rides_Completed","35-44","1861"
"6","Payment","35-44","1861"
"7","Review","35-44","1332"
"1","Downloads","45-54","1826"
"2","Signups","45-54","1826"
"3","Ride_Requested","45-54","1285"
"4","Rides_Accepted","45-54","1267"
"5","Rides_Completed","45-54","630"
"6","Payment","45-54","630"
"7","Review","45-54","453"
"1","Downloads","Unknown","5304"
"2","Signups","Unknown","5304"
"3","Ride_Requested","Unknown","3734"
"4","Rides_Accepted","Unknown","3701"
"5","Rides_Completed","Unknown","1845"
"6","Payment","Unknown","1845"
"7","Review","Unknown","1248"
"1","Downloads","","5985"
"2","Signups","","0"
"3","Ride_Requested","","0"
"4","Rides_Accepted","","0"
"5","Rides_Completed","","0"
"6","Payment","","0"
"7","Review","","0"